id,name,year,classification,runtime,genres,budget,opening_weekend,gross_na,gross_g,release_date,gross_tw,gross_cn,gross_hk,gross_my,gross_sg,gross_xndom
tt1386697,Suicide Squad (2016),(2016),PG-13,123min,"Action,Adventure,Fantasy","$175,000,000","$133,682,248","$325,100,054","$746,846,894",Release Date: 5 August 2016 (Taiwan),"9,500,000",0,"6,500,000",0,0,"421,746,840"
tt2660888,Star Trek Beyond (2016),(2016),PG-13,122min,"Action,Adventure,Sci-Fi","$185,000,000","$59,253,211","$158,848,340","$343,471,816",Release Date: 21 July 2016 (Taiwan),"2,044,138","65,170,090","1,345,813","1,031,783","1,258,024","184,623,476"
tt1211837,Doctor Strange (2016),(2016),PG-13,115min,"Action,Adventure,Fantasy","$165,000,000","$85,058,311","$232,641,920","$677,718,395",Release Date: 25 October 2016 (Taiwan),"9,496,024","109,194,913","8,172,143","5,863,005","5,382,107","445,076,475"
tt4972582,Split (IX) (2016),(IX),PG-13,117min,"Horror,Thriller","$9,000,000","$40,010,975","$138,291,365","$278,454,358",Release Date: 3 February 2017 (Taiwan),"5,283,129",0,"2,518,122","662,092","897,103","140,162,993"
tt3470600,Sing (2016),(2016),PG,108min,"Animation,Comedy,Family","$75,000,000","$35,258,145","$270,395,425","$634,151,679",Release Date: 9 December 2016 (Taiwan),"1,998,106","31,379,920","2,870,603","1,607,233","1,806,364","363,756,254"
tt2543164,Arrival (II) (2016),(II),PG-13,116min,"Drama,Mystery,Sci-Fi","$47,000,000","$24,074,047","$100,546,139","$203,388,186",Release Date: 10 February 2017 (Taiwan),"877,112","15,884,890","1,124,259","769,021","851,069","102,842,047"
tt2119532,Hacksaw Ridge (2016),(2016),R,139min,"Biography,Drama,History","$40,000,000","$15,190,758","$67,209,615","$175,302,354",Release Date: 25 November 2016 (Taiwan),"3,638,467","62,124,942","2,118,421",0,"91,966","108,092,739"
tt1355644,Passengers (I) (2016),(I),PG-13,116min,"Drama,Romance,Sci-Fi","$110,000,000","$14,869,736","$100,014,699","$303,144,152",Release Date: 21 December 2016 (Taiwan),"2,296,275","45,279,870","2,764,994","1,240,720",0,"203,129,453"
tt2404435,The Magnificent Seven (2016),(2016),PG-13,132min,"Action,Adventure,Western","$90,000,000","$34,703,397","$93,432,655","$162,360,636",Release Date: 7 October 2016 (Taiwan),"437,348",0,"448,358","1,138,903","710,985","68,927,981"
tt4520364,Morgan (2016),(2016),R,92min,"Action,Horror,Sci-Fi","$8,000,000","$2,012,709","$3,915,251","$8,906,178",Release Date: 2 September 2016 (Taiwan),0,0,0,0,0,"4,990,927"
tt4975722,Moonlight (I) (2016),(I),R,111min,Drama,"$4,000,000","$402,075","$27,854,932","$65,046,687",Release Date: 3 March 2017 (Taiwan),"189,731",0,"413,575",0,"53,148","37,191,755"
tt3748528,Rogue One: A Star Wars Story (2016),(2016),PG-13,133min,"Action,Adventure,Sci-Fi","$200,000,000","$155,081,681","$532,177,324","$1,056,057,273",Release Date: 14 December 2016 (Taiwan),"2,636,512","69,484,899","5,493,212","3,651,314","4,120,651","523,879,949"
tt4846340,Hidden Figures (2016),(2016),PG,127min,"Biography,Drama,History","$25,000,000","$515,499","$169,607,287","$235,956,898",Release Date: 27 January 2017 (Taiwan),"1,881,419",0,"815,441","126,410","259,594","66,349,611"
tt1212428,The Lost City of Z (2016),(2016),PG-13,141min,"Adventure,Biography,Drama","$30,000,000","$110,175","$8,580,410","$19,263,938",Release Date: 2 June 2017 (Taiwan),"36,297","981,968",0,0,"67,214","10,683,528"
